,courier_id,t,x,y,hexagon
0,c1,0,1000.0,0.0,H1
1,c2,0,1000.0,0.0,H1
2,c3,0,1000.0,0.0,H1
3,c4,0,500.0,866.03,H1
4,c5,0,500.0,866.03,H1
5,c6,0,0.0,0.0,H1
6,c7,0,-500.0,-866.03,H1
7,c8,0,1000.0,0.0,H1
8,c9,0,0.0,0.0,H1
9,c10,0,500.0,-866.03,H1
10,c11,0,0.0,0.0,H1
11,c12,0,500.0,-866.03,H1
12,c13,0,-500.0,-866.03,H2
13,c14,0,-500.0,-866.03,H2
14,c15,0,0.0,1732.05,H2
15,c16,0,-1000.0,1732.05,H2
16,c17,0,-1500.0,866.03,H2
17,c18,0,0.0,1732.05,H2
18,c19,0,2500.0,-866.03,H2
19,c20,0,2000.0,-1732.05,H2
20,c21,0,2000.0,1732.05,H2
21,c22,0,-1500.0,866.03,H2
22,c23,0,-1500.0,-866.03,H2
23,c24,0,3500.0,2598.08,H3
24,c25,0,2500.0,2598.08,H3
25,c26,0,-4000.0,-1732.05,H3
26,c27,0,-3500.0,2598.08,H3
27,c28,0,-500.0,2598.08,H3
