,courier_id,t,x,y,hexagon
0,c1,0,1000.0,0.0,H1
1,c2,0,-500.0,-866.03,H1
2,c3,0,-1000.0,0.0,H1
3,c4,0,-500.0,866.03,H1
4,c5,0,500.0,-866.03,H1
5,c6,0,1000.0,0.0,H1
6,c7,0,-500.0,-866.03,H1
7,c8,0,-500.0,-866.03,H1
8,c9,0,-1000.0,0.0,H1
9,c10,0,-500.0,-866.03,H1
10,c11,0,2000.0,0.0,H2
11,c12,0,2000.0,-1732.05,H2
12,c13,0,1000.0,0.0,H2
13,c14,0,2500.0,866.03,H2
14,c15,0,-2000.0,-1732.05,H3
15,c16,0,-500.0,-2598.08,H3
16,c17,0,-2000.0,-1732.05,H3
17,c18,0,-1000.0,0.0,H3
18,c19,0,500.0,-866.03,H3
19,c20,0,-500.0,866.03,H4
20,c21,0,-1000.0,-0.0,H4
21,c22,0,2500.0,2598.08,H5
22,c23,0,2500.0,866.03,H5
23,c24,0,-1000.0,-1732.05,H6
24,c25,0,-2000.0,-3464.1,H6
25,c26,0,0.0,3464.1,H7
26,c27,0,-4000.0,1732.05,H7
27,c28,0,1000.0,3464.1,H8
