,courier_id,t,x,y,hexagon
0,c1,0,500.0,866.03,H1
1,c2,0,1000.0,0.0,H1
2,c3,0,1000.0,0.0,H1
3,c4,0,500.0,866.03,H2
4,c5,0,2500.0,-866.03,H2
5,c6,0,1500.0,866.03,H2
6,c7,0,500.0,866.03,H2
7,c8,0,2000.0,-1732.05,H2
8,c9,0,500.0,866.03,H2
9,c10,0,1000.0,-1732.05,H3
10,c11,0,-500.0,-866.03,H3
11,c12,0,500.0,-2598.08,H3
12,c13,0,-500.0,-2598.08,H3
13,c14,0,-500.0,2598.08,H4
14,c15,0,-1000.0,-0.0,H4
15,c16,0,1000.0,1732.05,H4
16,c17,0,-1000.0,-0.0,H4
17,c18,0,4000.0,0.0,H5
18,c19,0,2500.0,2598.08,H5
19,c20,0,4000.0,-1732.05,H5
20,c21,0,500.0,-2598.08,H6
21,c22,0,2500.0,-2598.08,H6
22,c23,0,-2000.0,-3464.1,H6
23,c24,0,-3500.0,866.03,H7
24,c25,0,-4000.0,-1732.05,H7
25,c26,0,-2500.0,-2598.08,H7
26,c27,0,-500.0,4330.13,H8
27,c28,0,-500.0,4330.13,H8
