,parcel_id,t_a,pick_up,drop_off,h1,h2,shortest_distance,t_dl
0,p1,0,"(500.0, -866.03)","(-1000.0, -3464.1)",H1,H12,2999,171
1,p2,0,"(500.0, -866.03)","(2000.0, 3464.1)",H1,H19,5000,174
2,p3,0,"(0, 0)","(-1000.0, 1732.05)",H1,H17,1999,100
3,p4,1,"(-1000.0, 0.0)","(500.0, -866.03)",H1,H3,2000,95
4,p5,1,"(500.0, -866.03)","(-3000.0, 1732.05)",H1,H16,5000,241
5,p6,1,"(1000.0, 0.0)","(2500.0, 866.03)",H1,H2,2000,69
6,p7,1,"(500.0, -866.03)","(-500.0, 4330.13)",H1,H18,6000,325
7,p8,1,"(500.0, -866.03)","(-1000.0, 0.0)",H1,H1,2000,109
8,p9,1,"(500.0, 866.03)","(500.0, 4330.13)",H1,H18,3999,198
9,p10,1,"(-500.0, 866.03)","(-2000.0, -1732.05)",H1,H13,3000,134
10,p11,1,"(500.0, 866.03)","(3500.0, -866.03)",H1,H9,4000,183
11,p12,1,"(1000.0, 0.0)","(2500.0, -2598.08)",H1,H10,3000,138
12,p13,1,"(500.0, 866.03)","(-4000.0, -1732.05)",H1,H14,6000,250
13,p14,1,"(-500.0, 866.03)","(2000.0, 1732.05)",H1,H19,2999,171
14,p15,2,"(-500.0, -866.03)","(2000.0, 0.0)",H1,H9,3000,122
15,p16,2,"(-500.0, 866.03)","(500.0, -2598.08)",H1,H4,4000,134
16,p17,2,"(500.0, -866.03)","(0, 1732.05)",H1,H7,3000,144
17,p18,2,"(-500.0, -866.03)","(-1000.0, -3464.1)",H1,H13,2999,131
18,p19,2,"(0, 0)","(-2000.0, 0.0)",H1,H15,2000,100
19,p20,3,"(-500.0, 866.03)","(-2500.0, 866.03)",H1,H6,2000,101
20,p21,3,"(500.0, -866.03)","(3500.0, -866.03)",H1,H9,3000,152
21,p22,3,"(-1000.0, 0.0)","(-2500.0, 2598.08)",H1,H16,3000,93
22,p23,3,"(1000.0, 0.0)","(-500.0, 866.03)",H1,H1,2000,116
23,p24,4,"(500.0, 866.03)","(-1500.0, -866.03)",H1,H5,3000,112
24,p25,4,"(-1000.0, 0.0)","(-2500.0, 866.03)",H1,H16,2000,83
25,p26,4,"(1000.0, 0.0)","(0, 3464.1)",H1,H18,3999,235
26,p27,5,"(-1000.0, 0.0)","(1000.0, -1732.05)",H1,H4,2999,129
27,p28,5,"(500.0, -866.03)","(500.0, 2598.08)",H1,H7,4000,139
28,p29,5,"(500.0, 866.03)","(-2000.0, 3464.1)",H1,H17,3999,185
29,p30,5,"(-1000.0, 0.0)","(-3000.0, 1732.05)",H1,H16,2999,149
30,p31,6,"(0, 0)","(-2500.0, -866.03)",H1,H14,3000,148
31,p32,6,"(1000.0, 0.0)","(2000.0, 3464.1)",H1,H19,3999,198
32,p33,6,"(-500.0, -866.03)","(-3500.0, -866.03)",H1,H14,3000,177
33,p34,6,"(-1000.0, 0.0)","(0, 1732.05)",H1,H7,1999,91
34,p35,7,"(0, 0)","(-2000.0, 1732.05)",H1,H16,2999,154
35,p36,7,"(-1000.0, 0.0)","(0, 1732.05)",H1,H7,1999,92
36,p37,8,"(500.0, 866.03)","(2500.0, -866.03)",H1,H10,3000,148
37,p38,8,"(-1000.0, 0.0)","(2000.0, -1732.05)",H1,H3,3999,197
38,p39,8,"(-500.0, -866.03)","(-2000.0, -1732.05)",H1,H5,1999,88
39,p40,8,"(-500.0, -866.03)","(2000.0, 1732.05)",H1,H8,4000,166
40,p41,8,"(0, 0)","(4000.0, -1732.05)",H1,H10,4999,236
41,p42,9,"(-500.0, 866.03)","(500.0, 2598.08)",H1,H19,1999,109
42,p43,9,"(500.0, 866.03)","(500.0, 2598.08)",H1,H7,1999,96
43,p44,9,"(500.0, 866.03)","(500.0, -2598.08)",H1,H12,4000,179
44,p45,9,"(1000.0, 0.0)","(1000.0, 1732.05)",H1,H2,1999,89
45,p46,9,"(0, 0)","(-1000.0, -1732.05)",H1,H13,1999,80
46,p47,10,"(0, 0)","(-1000.0, 1732.05)",H1,H17,1999,83
47,p48,10,"(1000.0, 0.0)","(3000.0, -1732.05)",H1,H10,2999,139
48,p49,10,"(0, 0)","(-3500.0, -866.03)",H1,H15,4000,188
49,p50,10,"(0, 0)","(-2000.0, 0.0)",H1,H6,2000,98
50,p51,11,"(-500.0, 866.03)","(-3500.0, 866.03)",H1,H15,3000,139
51,p52,11,"(0, 0)","(-1000.0, 3464.1)",H1,H18,3999,141
52,p53,12,"(500.0, -866.03)","(3500.0, -866.03)",H1,H9,3000,148
53,p54,12,"(500.0, 866.03)","(-2500.0, -866.03)",H1,H14,4000,165
