,parcel_id,t_a,pick_up,drop_off,h1,h2,shortest_distance,t_dl
0,p1,0,"(1000.0, 3464.1)","(2500.0, -2598.08)",H19,H11,7000,268
1,p2,0,"(-3000.0, 1732.05)","(500.0, 866.03)",H16,H1,3999,216
2,p3,0,"(1000.0, -1732.05)","(1000.0, 3464.1)",H4,H18,5999,310
3,p4,1,"(-3500.0, -866.03)","(3500.0, 866.03)",H15,H9,8000,418
4,p5,1,"(-500.0, -2598.08)","(-2000.0, 0.0)",H13,H15,3000,130
5,p6,1,"(-1000.0, 1732.05)","(3000.0, 1732.05)",H17,H8,4000,174
6,p7,1,"(2000.0, 1732.05)","(-2000.0, -1732.05)",H8,H5,5999,192
7,p8,1,"(1000.0, 1732.05)","(-1000.0, 1732.05)",H2,H7,2000,79
8,p9,1,"(-500.0, 2598.08)","(2500.0, 866.03)",H7,H2,3999,131
9,p10,1,"(-1000.0, -0.0)","(-3000.0, 1732.05)",H6,H16,2999,107
10,p11,1,"(500.0, 2598.08)","(-1000.0, 3464.1)",H7,H18,1999,87
11,p12,2,"(1000.0, 1732.05)","(3500.0, -866.03)",H19,H10,4000,179
12,p13,2,"(-2000.0, 3464.1)","(-3500.0, -866.03)",H17,H15,5000,233
13,p14,2,"(3500.0, -866.03)","(3500.0, 866.03)",H10,H9,2000,68
14,p15,2,"(500.0, 4330.13)","(-1000.0, 3464.1)",H18,H18,2000,96
15,p16,3,"(1000.0, 0.0)","(2500.0, 866.03)",H2,H2,2000,76
16,p17,3,"(-1000.0, 3464.1)","(500.0, -866.03)",H17,H1,5000,222
17,p18,3,"(2000.0, 0.0)","(-3000.0, 0.0)",H9,H15,5000,255
18,p19,3,"(-1000.0, 3464.1)","(-2000.0, -1732.05)",H18,H5,5999,255
19,p20,4,"(1000.0, 1732.05)","(500.0, -866.03)",H7,H4,3000,146
20,p21,4,"(1000.0, 0.0)","(-2000.0, 1732.05)",H1,H17,3999,157
21,p22,4,"(1000.0, 1732.05)","(-2500.0, 2598.08)",H19,H17,4000,213
22,p23,4,"(-1000.0, 0.0)","(2500.0, 2598.08)",H5,H8,5000,265
23,p24,4,"(1000.0, -1732.05)","(-500.0, -866.03)",H3,H5,1999,84
24,p25,4,"(3500.0, 866.03)","(-2500.0, 2598.08)",H9,H16,6999,328
25,p26,5,"(2500.0, -866.03)","(-2500.0, -866.03)",H9,H15,5000,164
26,p27,5,"(-2000.0, 0.0)","(500.0, 2598.08)",H5,H19,4000,177
27,p28,5,"(-2500.0, 2598.08)","(1000.0, 0.0)",H17,H2,5000,167
28,p29,5,"(3500.0, -866.03)","(-1000.0, -1732.05)",H9,H5,4999,263
29,p30,5,"(-2000.0, -3464.1)","(3500.0, 2598.08)",H13,H8,9000,345
30,p31,5,"(1000.0, -1732.05)","(-1000.0, 0.0)",H11,H5,2999,133
31,p32,6,"(-4000.0, 1732.05)","(500.0, -2598.08)",H16,H11,7000,338
32,p33,6,"(3500.0, 2598.08)","(-2500.0, -2598.08)",H8,H14,9000,373
33,p34,7,"(1000.0, 3464.1)","(2500.0, 2598.08)",H19,H8,1999,94
34,p35,7,"(-500.0, -2598.08)","(-500.0, 866.03)",H13,H7,4000,199
35,p36,7,"(-3000.0, -1732.05)","(2000.0, 1732.05)",H14,H8,6999,280
36,p37,7,"(0, -3464.1)","(-1500.0, -2598.08)",H12,H13,1999,95
37,p38,7,"(-2500.0, -2598.08)","(-2000.0, 0.0)",H13,H5,3000,157
38,p39,7,"(-500.0, -866.03)","(-3000.0, 1732.05)",H1,H16,4000,163
39,p40,8,"(-500.0, -866.03)","(500.0, -2598.08)",H4,H12,1999,103
40,p41,8,"(-500.0, 866.03)","(2500.0, -2598.08)",H1,H11,5000,269
41,p42,8,"(1500.0, 866.03)","(500.0, -2598.08)",H2,H11,4000,188
42,p43,8,"(-3500.0, 2598.08)","(-500.0, 2598.08)",H16,H17,3000,159
43,p44,8,"(4000.0, 0.0)","(1500.0, 2598.08)",H9,H19,4000,131
44,p45,9,"(-2500.0, 866.03)","(-1000.0, 1732.05)",H6,H6,1999,83
