,parcel_id,t_a,pick_up,drop_off,h1,h2,shortest_distance,t_dl
0,p1,0,"(1000.0, 3464.1)","(2500.0, 866.03)",H19,H8,2999,127
1,p2,0,"(500.0, 2598.08)","(-1500.0, 866.03)",H18,H6,2999,133
2,p3,0,"(-1000.0, 1732.05)","(3500.0, -2598.08)",H6,H10,7000,336
3,p4,0,"(3000.0, 1732.05)","(-2000.0, -1732.05)",H8,H5,6999,302
4,p5,0,"(500.0, -2598.08)","(-3500.0, -866.03)",H12,H14,4999,255
5,p6,0,"(1000.0, 0.0)","(1500.0, -2598.08)",H1,H11,3000,119
6,p7,0,"(2500.0, -866.03)","(-1000.0, -1732.05)",H9,H4,3999,175
7,p8,0,"(-1000.0, 3464.1)","(-1000.0, -3464.1)",H18,H13,7999,350
8,p9,0,"(-3500.0, -866.03)","(-500.0, 2598.08)",H14,H18,5000,174
9,p10,0,"(-1000.0, 3464.1)","(-500.0, 866.03)",H18,H6,2999,165
10,p11,0,"(3500.0, 866.03)","(500.0, -2598.08)",H9,H11,5000,198
11,p12,0,"(-500.0, 2598.08)","(500.0, -4330.13)",H18,H12,8000,422
12,p13,0,"(4000.0, 1732.05)","(-500.0, 866.03)",H8,H6,4999,249
13,p14,0,"(3500.0, 866.03)","(-2000.0, 3464.1)",H8,H17,6999,336
14,p15,0,"(2000.0, 1732.05)","(-3500.0, 866.03)",H2,H15,5999,324
15,p16,0,"(3500.0, -2598.08)","(2000.0, -1732.05)",H10,H10,2000,78
16,p17,0,"(3000.0, 0.0)","(-2500.0, -866.03)",H9,H14,6000,256
17,p18,0,"(1000.0, 1732.05)","(500.0, -866.03)",H2,H4,3000,139
18,p19,0,"(-3000.0, 1732.05)","(-2500.0, -2598.08)",H16,H13,5000,180
19,p20,0,"(-2000.0, -1732.05)","(2000.0, 0.0)",H5,H9,4999,186
20,p21,0,"(4000.0, -1732.05)","(-500.0, -4330.13)",H10,H12,6000,234
21,p22,0,"(2500.0, -866.03)","(-500.0, -866.03)",H9,H1,3000,153
22,p23,0,"(4000.0, -1732.05)","(2500.0, 2598.08)",H10,H19,5000,189
23,p24,0,"(1000.0, -1732.05)","(-1000.0, 3464.1)",H4,H17,5999,260
24,p25,1,"(-3500.0, -2598.08)","(500.0, -4330.13)",H14,H12,4999,189
25,p26,1,"(2000.0, -3464.1)","(-1000.0, 1732.05)",H11,H6,5999,267
26,p27,1,"(0, -3464.1)","(-1000.0, 3464.1)",H12,H17,7999,312
